Time (s),Channel 1 (V),Channel 2 (V)
-1.457408163265306211e-04,3.287369930177827637e+00,3.285230157789221117e+00
-1.457108163265305825e-04,3.302374338425762001e+00,3.285230157789221117e+00
-1.456808163265305980e-04,3.283618828115839161e+00,3.285230157789221117e+00
-1.456508163265306135e-04,3.279867726053855126e+00,3.259191441143045598e+00
-1.456208163265305749e-04,3.283618828115835608e+00,3.262911257806771381e+00
-1.455908163265305904e-04,3.279867726053851573e+00,3.270350891134250038e+00
-1.455608163265306059e-04,3.264863317805900333e+00,3.266631074470507379e+00
-1.455308163265306215e-04,3.283618828115822286e+00,3.270350891134246485e+00
-1.455008163265305828e-04,3.283618828115839161e+00,3.255471624479286064e+00
-1.454708163265305983e-04,3.283618828115839161e+00,3.262911257806764720e+00
-1.454408163265306139e-04,3.272365521929886611e+00,3.270350891134243376e+00
-1.454108163265305752e-04,3.272365521929866183e+00,3.262911257806754506e+00
-1.453808163265305907e-04,3.261112215743912746e+00,3.251751807815536743e+00
-1.453508163265306062e-04,3.279867726053851573e+00,3.262911257806764720e+00
-1.453208163265306218e-04,3.268614419867898135e+00,3.259191441143025614e+00
-1.452908163265305831e-04,3.264863317805900333e+00,3.248031991151797193e+00
-1.452608163265305986e-04,3.264863317805900333e+00,3.251751807815536743e+00
-1.452308163265306142e-04,3.276116623991853771e+00,3.262911257806754506e+00
-1.452008163265305755e-04,3.272365521929869736e+00,3.251751807815536743e+00
-1.451708163265305910e-04,3.264863317805900333e+00,3.251751807815536743e+00
-1.451408163265306066e-04,3.264863317805900333e+00,3.251751807815536743e+00
-1.451108163265306221e-04,3.264863317805900333e+00,3.259191441143015400e+00
-1.450808163265305834e-04,3.268614419867884369e+00,3.259191441143022061e+00
-1.450508163265305990e-04,3.264863317805900333e+00,3.259191441143022061e+00
-1.450208163265306145e-04,3.264863317805900333e+00,3.251751807815543405e+00
-1.449908163265305758e-04,3.272365521929869736e+00,3.255471624479275849e+00
-1.449608163265305913e-04,3.264863317805900333e+00,3.251751807815536743e+00
-1.449308163265306069e-04,3.268614419867887921e+00,3.248031991151793640e+00
-1.449008163265306224e-04,3.264863317805903886e+00,3.255471624479272741e+00
-1.448708163265305837e-04,3.268614419867894583e+00,3.251751807815533191e+00
-1.448408163265305993e-04,3.276116623991863985e+00,3.248031991151793640e+00
-1.448108163265306148e-04,3.276116623991863985e+00,3.259191441143011847e+00
-1.447808163265305761e-04,3.268614419867881260e+00,3.259191441143022061e+00
-1.447508163265305917e-04,3.261112215743912746e+00,3.259191441143022061e+00
-1.447208163265306072e-04,3.264863317805900333e+00,3.248031991151793640e+00
-1.446908163265306227e-04,3.276116623991853771e+00,3.244312174488054534e+00
-1.446608163265305841e-04,3.268614419867894583e+00,3.248031991151803854e+00
-1.446308163265305996e-04,3.276116623991863985e+00,3.259191441143022061e+00
-1.446008163265306151e-04,3.276116623991863985e+00,3.259191441143022061e+00
-1.445708163265305764e-04,3.283618828115845822e+00,3.259191441143035384e+00
-1.445408163265305920e-04,3.291121032239815225e+00,3.274070707797992696e+00
-1.445108163265306075e-04,3.302374338425778877e+00,3.288949974452963776e+00
-1.444808163265306230e-04,3.302374338425778877e+00,3.285230157789224670e+00
-1.444508163265305844e-04,3.298623236363791289e+00,3.281510341125478458e+00
-1.444208163265305999e-04,3.302374338425778877e+00,3.288949974452963776e+00
-1.443908163265306154e-04,3.298623236363794842e+00,3.281510341125485120e+00
-1.443608163265305768e-04,3.302374338425782430e+00,3.288949974452953562e+00
-1.443308163265305923e-04,3.306125440487766465e+00,3.277790524461735799e+00
-1.443008163265306078e-04,3.309876542549754941e+00,3.288949974452963776e+00
-1.442708163265306234e-04,3.309876542549754941e+00,3.300109424444181982e+00
